name,size,armorType,costGp,armorClass,minStrength,stealthDisadvantage,weightLb,description
Padded,small,light ,5,11 + Dex modifier,0,TRUE,8,Padded armor consists of quilted layers of cloth and batting.
Leather,small,light ,10,11 + Dex modifier,0,FALSE,10,The breastplate and shoulder protectors of this armor are made of leather that has been stiffened by being boiled in oil. The rest of the armor is made of softer and more flexible materials.
Studded leather,small,light ,45,12 + Dex modifier,0,FALSE,13,"Made from tough but flexible leather, studded leather is reinforced with close-­‐‑set rivets or spikes."
Hide,small,medium ,10,12 + Dex modifier (max 2),0,FALSE,12,"This crude armor consists of thick furs and pelts. It is commonly worn by barbarian tribes, evil humanoids, and other folk who lack access to the tools and materials needed to create better armor."
Chain shirt,small,medium ,50,13 + Dex modifier (max 2),0,FALSE,20,"Made of interlocking metal rings, a chain shirt is worn between layers of clothing or leather. This armor offers modest protection to the wearer’s upper body and allows the sound of the rings rubbing against one another to be muffled by outer layers."
Scale mail,small,medium ,50,14 + Dex modifier (max 2),0,TRUE,45,"This armor consists of a coat and leggings (and perhaps a separate skirt) of leather covered with overlapping pieces of metal, much like the scales of a fish. The suit includes gauntlets."
Breastplate,small,medium ,400,14 + Dex modifier (max 2),0,FALSE,20,"This armor consists of a fitted metal chest piece worn with supple leather. Although it leaves the legs and arms relatively unprotected, this armor provides good protection for the wearer’s vital organs while leaving the wearer relatively unencumbered."
Half plate,small,medium ,750,15 + Dex modifier (max 2),0,TRUE,40,Half plate consists of shaped metal plates that cover most of the wearer’s body. It does not include leg protection beyond simple greaves that are attached with leather straps.
Ring mail,small,heavy ,30,14,0,TRUE,40,"This armor is leather armor with heavy rings sewn into it. The rings help reinforce the armor against blows from swords and axes. Ring mail is inferior to chain mail, and it's usually worn only by those who can’t afford better armor."
Chain mail,small,heavy ,75,16,13,TRUE,55,"Made of interlocking metal rings, chain mail includes a layer of quilted fabric worn underneath the mail to prevent chafing and to cushion the impact of blows. The suit includes gauntlets."
Splint,small,heavy ,200,17,15,TRUE,60,This armor is made of narrow vertical strips of metal riveted to a backing of leather that is worn over cloth padding. Flexible chain mail protects the joints.
Plate,small,heavy ,1500,18,15,TRUE,65,"Plate consists of shaped, interlocking metal plates to cover the entire body. A suit of plate includes gauntlets, heavy leather boots, a visored helmet, and thick layers of padding underneath the armor. Buckles and straps distribute the weight over the body."
Shield,small,shield,10,+2,0,FALSE,6,A shield is made from wood or metal and is carried in one hand. Wielding a shield increases your Armor Class by 2. You can benefit from only one shield at a time.
Padded,medium,light ,5,11 + Dex modifier,0,TRUE,8,Padded armor consists of quilted layers of cloth and batting.
Leather,medium,light ,10,11 + Dex modifier,0,FALSE,10,The breastplate and shoulder protectors of this armor are made of leather that has been stiffened by being boiled in oil. The rest of the armor is made of softer and more flexible materials.
Studded leather,medium,light ,45,12 + Dex modifier,0,FALSE,13,"Made from tough but flexible leather, studded leather is reinforced with close-­‐‑set rivets or spikes."
Hide,medium,medium ,10,12 + Dex modifier (max 2),0,FALSE,12,"This crude armor consists of thick furs and pelts. It is commonly worn by barbarian tribes, evil humanoids, and other folk who lack access to the tools and materials needed to create better armor."
Chain shirt,medium,medium ,50,13 + Dex modifier (max 2),0,FALSE,20,"Made of interlocking metal rings, a chain shirt is worn between layers of clothing or leather. This armor offers modest protection to the wearer’s upper body and allows the sound of the rings rubbing against one another to be muffled by outer layers."
Scale mail,medium,medium ,50,14 + Dex modifier (max 2),0,TRUE,45,"This armor consists of a coat and leggings (and perhaps a separate skirt) of leather covered with overlapping pieces of metal, much like the scales of a fish. The suit includes gauntlets."
Breastplate,medium,medium ,400,14 + Dex modifier (max 2),0,FALSE,20,"This armor consists of a fitted metal chest piece worn with supple leather. Although it leaves the legs and arms relatively unprotected, this armor provides good protection for the wearer’s vital organs while leaving the wearer relatively unencumbered."
Half plate,medium,medium ,750,15 + Dex modifier (max 2),0,TRUE,40,Half plate consists of shaped metal plates that cover most of the wearer’s body. It does not include leg protection beyond simple greaves that are attached with leather straps.
Ring mail,medium,heavy ,30,14,0,TRUE,40,"This armor is leather armor with heavy rings sewn into it. The rings help reinforce the armor against blows from swords and axes. Ring mail is inferior to chain mail, and it's usually worn only by those who can’t afford better armor."
Chain mail,medium,heavy ,75,16,13,TRUE,55,"Made of interlocking metal rings, chain mail includes a layer of quilted fabric worn underneath the mail to prevent chafing and to cushion the impact of blows. The suit includes gauntlets."
Splint,medium,heavy ,200,17,15,TRUE,60,This armor is made of narrow vertical strips of metal riveted to a backing of leather that is worn over cloth padding. Flexible chain mail protects the joints.
Plate,medium,heavy ,1500,18,15,TRUE,65,"Plate consists of shaped, interlocking metal plates to cover the entire body. A suit of plate includes gauntlets, heavy leather boots, a visored helmet, and thick layers of padding underneath the armor. Buckles and straps distribute the weight over the body."
Shield,medium,shield,10,+2,0,FALSE,6,A shield is made from wood or metal and is carried in one hand. Wielding a shield increases your Armor Class by 2. You can benefit from only one shield at a time.